time,veh,evt,pathId,policy,pathLen,nextIdx,targetJ,ttl,selected,nextList,prevHop
32.414,56,REQ,1,1,5,0,6,0,0,",06-4-3-7-8"
38.618,16,REQ,2,1,1,0,6,0,0,",06"
38.777,39,REQ,1,1,8,0,4,0,0,",04-3-7-8-11-9-10-6"
38.895,77,REQ,1,1,10,0,0,0,0,",00-3-4-8-11-9-10-6-5-1"
40.569,43,REQ,2,1,5,0,1,0,0,",01-5-3-4-8"
40.857,26,REQ,1,1,1,0,8,0,0,",08"
43.440,34,REQ,1,1,4,0,8,0,0,",08-4-3-7"
46.415,12,REQ,2,1,7,0,8,0,0,",08-4-3-7-2-0-1"
47.222,37,REQ,2,1,10,0,0,0,0,",00-3-4-8-11-9-10-6-5-1"
47.223,93,FWD,2,1,10,0,0,23,68,"68@829;76@906;77@994;84@959;85@991;92@983",93
47.223,92,FWD,2,1,10,0,0,23,68,"68@835;76@915;77@994;84@965;85@991",92
49.389,85,REQ,1,1,3,0,5,0,0,",05-3-4"
50.440,24,REQ,1,1,8,0,1,0,0,",01-5-3-4-8-7-2-0"
53.335,16,REQ,3,1,10,0,4,0,0,",04-3-7-8-11-9-10-6-5-1"
55.554,107,REQ,1,1,2,0,4,0,0,",04-3"
57.147,46,REQ,1,1,6,0,8,0,0,",08-4-3-7-2-0"
58.703,103,REQ,1,1,8,0,3,0,0,",03-4-8-7-2-0-1-5"
3.073,14,REQ,1,1,1,0,3,0,0,",03"
4.982,37,REQ,1,1,4,0,3,0,0,",03-7-2-0"
7.168,24,REQ,1,1,4,0,2,0,0,",02-0-3-5"
7.705,41,REQ,1,1,10,0,2,0,0,",02-0-3-5-6-10-9-11-8-7"
8.321,21,REQ,1,1,3,0,7,0,0,",07-3-5"
8.369,18,REQ,1,1,6,0,2,0,0,",02-7-3-5-1-0"
3.073,14,REQ,1,1,1,0,3,0,0,",03"
4.982,37,REQ,1,1,4,0,3,0,0,",03-7-2-0"
7.168,24,REQ,1,1,4,0,2,0,0,",02-0-3-5"
7.705,41,REQ,1,1,10,0,2,0,0,",02-0-3-5-6-10-9-11-8-7"
8.321,21,REQ,1,1,3,0,7,0,0,",07-3-5"
8.369,18,REQ,1,1,6,0,2,0,0,",02-7-3-5-1-0"
12.145,72,REQ,1,1,1,0,3,0,0,",03"
13.184,14,REQ,2,1,1,0,3,0,0,",03"
13.190,72,FWD,2,1,1,0,3,5,4,"4@1.1e+03",72
15.147,40,REQ,1,1,5,0,3,0,0,",03-5-1-0-2"
17.305,109,REQ,1,1,4,0,2,0,0,",02-0-3-5"
17.308,115,FWD,1,1,4,0,2,11,104,"100@1.99e+03;104@1.98e+03",115
17.308,108,FWD,1,1,4,0,2,11,104,"100@1.99e+03;104@1.98e+03",108
18.685,32,REQ,1,1,4,0,3,0,0,",03-5-1-0"
19.393,45,REQ,1,1,1,0,2,0,0,",02"
19.836,153,REQ,1,1,1,0,2,0,0,",02"
20.197,24,REQ,2,1,1,0,2,0,0,",02"
3.073,14,REQ,1,1,14,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1-10"
4.982,37,REQ,1,1,13,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1"
7.168,24,REQ,1,1,6,0,5,0,0,",05-14-13-12-11-10"
3.073,14,REQ,1,1,14,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1-10"
4.982,37,REQ,1,1,13,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1"
7.168,24,REQ,1,1,6,0,5,0,0,",05-14-13-12-11-10"
3.073,14,REQ,1,1,14,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1-10"
4.982,37,REQ,1,1,13,0,11,0,0,",011-12-13-14-23-24-15-6-5-4-3-2-1"
7.168,24,REQ,1,1,6,0,5,0,0,",05-14-13-12-11-10"
7.705,41,REQ,1,1,23,0,3,0,0,",03-2-11-20-19-10-1-0-9-18-27-28-37-38-29-30-21-12-13-14-5-6-15"
8.321,21,REQ,1,1,31,0,14,0,0,",014-13-22-21-20-29-28-19-18-27-36-37-38-39-30-31-32-33-24-25-26-17-16-15-6-5-4-3-2-11-10"
8.369,18,REQ,1,1,32,0,3,0,0,",03-2-11-20-29-28-37-38-39-30-21-22-31-32-33-24-25-34-43-42-41-40-49-48-47-46-45-36-27-18-19-10"
12.145,72,REQ,1,1,32,0,12,0,0,",012-13-22-21-30-29-28-37-38-39-40-31-32-33-34-25-24-15-14-5-6-7-16-17-26-35-44-43-42-41-50-51"
13.184,14,REQ,2,1,6,0,10,0,0,",010-19-28-29-30-21"
13.194,72,FWD,2,1,6,0,10,15,4,"4@627",72
15.147,40,REQ,1,1,22,0,11,0,0,",011-20-29-28-37-38-39-30-21-22-23-24-33-34-25-16-15-14-13-4-5-6"
17.305,109,REQ,1,1,32,0,5,0,0,",05-14-23-24-33-34-25-16-15-6-7-8-17-26-35-44-43-42-41-32-31-22-21-20-29-30-39-38-37-28-19-10"
17.312,115,FWD,1,1,32,0,5,67,104,"100@2.49e+03;104@2.48e+03",115
17.312,108,FWD,1,1,32,0,5,67,104,"100@2.49e+03;104@2.48e+03",108
18.685,32,REQ,1,1,2,0,10,0,0,",010-11"
19.393,45,REQ,1,1,32,0,4,0,0,",04-13-14-23-24-33-42-41-40-31-22-21-30-29-20-11-10-19-18-27-28-37-38-47-48-57-66-65-64-55-46-45"
19.836,153,REQ,1,1,15,0,6,0,0,",06-15-24-23-22-21-30-29-20-11-12-13-14-5-4"
20.197,24,REQ,2,1,32,0,7,0,0,",07-6-15-24-33-42-43-34-25-16-17-26-35-44-53-52-51-60-69-78-77-76-75-74-65-56-55-46-47-38-29-30"
21.571,87,REQ,1,1,19,0,3,0,0,",03-12-21-22-23-24-33-42-43-34-25-16-15-14-13-4-5-6-7"
24.374,41,REQ,2,1,22,0,20,0,0,",020-21-22-23-24-33-42-43-34-25-16-15-14-13-12-11-2-3-4-5-6-7"
26.172,168,REQ,1,1,19,0,14,0,0,",014-23-24-33-42-43-52-61-70-71-62-53-44-35-34-25-16-15-6"
26.176,201,FWD,1,1,19,0,14,41,104,"104@2.39e+03;200@2.54e+03",201
26.176,202,FWD,1,1,19,0,14,41,104,"104@2.39e+03;200@2.54e+03",202
26.176,172,FWD,1,1,19,0,14,41,104,"104@2.42e+03",172
26.176,200,FWD,1,1,19,0,14,41,104,"104@2.4e+03",200
26.176,204,FWD,1,1,19,0,14,41,104,"104@2.39e+03;200@2.54e+03",204
26.176,203,FWD,1,1,19,0,14,41,104,"104@2.39e+03;200@2.54e+03",203
28.717,127,REQ,1,1,32,0,9,0,0,",09-10-11-20-21-22-23-24-33-42-43-52-61-60-51-50-41-32-31-30-29-38-47-56-65-66-75-76-67-68-69-70"
33.116,86,REQ,1,1,32,0,4,0,0,",04-13-22-23-24-33-42-43-52-61-70-69-60-51-50-41-32-31-30-21-20-29-38-47-56-65-66-75-74-73-64-55"
33.253,163,REQ,1,1,32,0,20,0,0,",020-21-22-23-24-33-42-43-52-61-60-51-50-41-32-31-30-29-38-47-56-65-66-75-76-77-68-69-70-71-62-53"
33.950,174,REQ,1,1,32,0,16,0,0,",016-25-24-33-42-43-52-61-70-69-60-51-50-41-32-23-22-21-30-29-38-47-56-65-66-75-76-77-78-79-80-71"
33.973,89,REQ,1,1,32,0,20,0,0,",020-21-22-23-24-33-42-43-52-61-70-69-60-51-50-41-32-31-30-29-38-47-56-65-66-75-76-77-78-79-80-71"
3.073,16,REQ,1,1,32,0,18,0,0,",018-19-20-29-38-47-56-57-48-39-30-21-12-11-10-9-0-1-2-3-4-13-22-31-40-49-58-59-50-41-42-33"
4.982,37,REQ,1,1,32,0,34,0,0,",034-33-42-41-40-39-38-29-20-21-30-31-32-23-22-13-12-11-10-19-28-37-46-47-56-57-48-49-58-59-50-51"
7.168,25,REQ,1,1,32,0,40,0,0,",040-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-49-48-57-56-65-66-67-58-59-60-51"
7.705,43,REQ,1,1,32,0,47,0,0,",047-56-57-48-49-40-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-59-58-67-66-65-64"
8.321,22,REQ,1,1,32,0,22,0,0,",022-21-20-11-10-9-18-19-28-29-30-31-32-41-50-59-60-69-68-67-66-65-64-63-72-73-74-75-76-77-78-79"
8.369,18,REQ,1,1,32,0,37,0,0,",037-38-29-20-11-10-9-0-1-2-3-12-13-4-5-6-15-24-33-42-51-60-69-68-67-66-65-74-73-64-63-54"
12.145,73,REQ,1,1,11,0,54,0,0,",054-63-64-73-74-65-66-75-76-77-68"
13.184,15,REQ,1,1,32,0,38,0,0,",038-29-20-11-10-1-0-9-18-19-28-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59-58-57"
15.147,41,REQ,1,1,32,0,28,0,0,",028-19-10-11-20-21-12-3-2-1-0-9-18-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59"
17.305,111,REQ,1,1,32,0,21,0,0,",021-20-11-10-1-0-9-18-19-28-29-30-31-32-33-42-51-60-69-68-77-76-67-66-75-74-65-64-63-54-55-56"
17.307,126,FWD,1,1,32,0,21,67,27,"27@1.7e+03;92@1.77e+03",126
18.685,33,REQ,1,1,32,0,2,0,0,",02-1-0-9-10-19-20-21-12-3-4-13-22-31-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17"
19.393,46,REQ,1,1,32,0,40,0,0,",040-41-42-51-60-61-70-79-80-71-62-53-52-43-34-33-32-31-22-13-12-3-2-1-0-9-10-11-20-29-30-39"
19.836,155,REQ,1,1,32,0,31,0,0,",031-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-14-15-16-25-24"
20.197,25,REQ,2,1,32,0,0,0,0,",00-1-10-9-18-19-20-11-12-3-4-5-6-7-8-17-16-15-14-13-22-21-30-29-38-47-56-65-64-63-72-73"
3.073,16,REQ,1,1,32,0,18,0,0,",018-19-20-29-38-47-56-57-48-39-30-21-12-11-10-9-0-1-2-3-4-13-22-31-40-49-58-59-50-41-42-33"
4.982,37,REQ,1,1,32,0,34,0,0,",034-33-42-41-40-39-38-29-20-21-30-31-32-23-22-13-12-11-10-19-28-37-46-47-56-57-48-49-58-59-50-51"
7.168,25,REQ,1,1,32,0,40,0,0,",040-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-49-48-57-56-65-66-67-58-59-60-51"
7.705,43,REQ,1,1,32,0,47,0,0,",047-56-57-48-49-40-31-30-21-20-11-10-19-18-9-0-1-2-3-12-13-22-23-32-41-50-59-58-67-66-65-64"
8.321,22,REQ,1,1,32,0,22,0,0,",022-21-20-11-10-9-18-19-28-29-30-31-32-41-50-59-60-69-68-67-66-65-64-63-72-73-74-75-76-77-78-79"
8.369,18,REQ,1,1,32,0,37,0,0,",037-38-29-20-11-10-9-0-1-2-3-12-13-4-5-6-15-24-33-42-51-60-69-68-67-66-65-74-73-64-63-54"
12.145,73,REQ,1,1,11,0,54,0,0,",054-63-64-73-74-65-66-75-76-77-68"
13.184,15,REQ,1,1,32,0,38,0,0,",038-29-20-11-10-1-0-9-18-19-28-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59-58-57"
15.147,41,REQ,1,1,32,0,28,0,0,",028-19-10-11-20-21-12-3-2-1-0-9-18-27-36-45-54-63-64-65-66-67-68-69-78-79-70-71-62-61-60-59"
17.305,111,REQ,1,1,32,0,21,0,0,",021-20-11-10-1-0-9-18-19-28-29-30-31-32-33-42-51-60-69-68-77-76-67-66-75-74-65-64-63-54-55-56"
17.307,126,FWD,1,1,32,0,21,67,27,"27@1.7e+03;92@1.77e+03",126
18.685,33,REQ,1,1,32,0,2,0,0,",02-1-0-9-10-19-20-21-12-3-4-13-22-31-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17"
19.393,46,REQ,1,1,32,0,40,0,0,",040-41-42-51-60-61-70-79-80-71-62-53-52-43-34-33-32-31-22-13-12-3-2-1-0-9-10-11-20-29-30-39"
19.836,155,REQ,1,1,32,0,31,0,0,",031-32-33-42-51-60-61-70-79-80-71-62-53-52-43-34-35-26-17-8-7-6-5-4-3-12-13-14-15-16-25-24"
